Join_Count,TARGET_FID,ZONING,GPIN_ini,MZONE_ini,MLUSE_ini,MCLASS_ini,MTOTPR_ini,MTUTIL_ini,MBASA_ini,MTOTA_ini,MASSLU_ini,MAP_PIN_fnl,GPIN_fnl,Zoning_fnl,MZONE_fnl,MLUSE_fnl,MCLASS_fnl,MTOTPR_fnl,MTUTIL_fnl,MBASA_fnl,MTOTA_fnl,MASSLU_fnl,Area_acre,Change
2,2118,R-R,6794-23-5248,,2,B,407900,8000,2178.6,3909.4,0,19-35B,6794-22-6645,R-R,,2,D,141700,11000,896,896,0,8.31618,No
2,2121,R-R,6794-25-3735,,6,C,1388400,16000,896,1792,239800,19-39,6794-16-5131,R-R,,6,C,1024300,11000,896,1792,192200,199.022,No
2,2151,R-R,6794-35-4404,,2,C,289400,8000,2184,2424,63300,19-45E,6794-35-7831,R-R,,2,C,352600,11000,2184,2504,0,15.2977,No
2,2182,A-1,6794-50-9178,,2,C,154000,8000,1404,1404,0,19-48A,6794-60-1179,A-10,,2,C,184600,11000,1404,1404,0,7.31169,No
2,2210,A-1,6793-96-8696,,5,,496000,8000,0,0,36225,19-61,6793-96-8696,A-10,,5,,490300,11000,0,0,19075,82.7818,No
2,2237,R-2,6793-57-9146,,2,A,500700,8000,2302,4316,0,19B-1-13,6793-57-9146,R-2,,2,A,642900,11000,2302,4316,0,8.74723,No
3,2467,A-1,7703-06-4998,,5,B,512000,8000,1120,1904,77150,20-1,7703-07-3295,A-10,,2,C,367900,11000,1056,1056,88200,21.7062,Yes
2,2482,A-1,5792-63-9326,,2,,63000,0,0,0,0,22-1-11,5792-73-0358,A-10,,2,,68000,0,0,0,0,7.6407,No
2,2483,A-1,5792-63-6229,,2,,63000,0,0,0,0,22-1-13A,5792-63-6246,A-10,,2,C,214400,11000,1464,1464,0,7.45192,No
2,2484,A-1,5792-63-3211,,2,,63000,0,0,0,0,22-1-14A,5792-63-4213,A-10,,2,,44300,0,0,0,0,8.15438,No
2,2492,A-1,5792-84-0827,,2,,56100,0,0,0,0,22-1-21,5792-84-2916,A-10,,2,,61100,0,0,0,0,2.81464,No
2,2497,A-1,5792-85-0655,,2,C,292900,8000,2453.8,2453.8,0,22-1-23,5792-85-3632,A-10,,2,C,324100,11000,2453.8,2453.8,0,15.1132,No
2,2498,A-1,5792-75-7844,,2,,54200,0,0,0,0,22-1-25A,5792-75-4419,A-10,,2,C,245000,11000,1402.5,2103.8,0,9.99809,No
2,2504,A-1,5792-74-3383,,2,C,157100,8000,1396.5,1396.5,0,22-1-28A,5792-74-2391,A-10,,2,C,185000,11000,851,1299.8,0,6.12964,No
2,2505,A-1,5792-74-3523,,2,C,162100,8000,1392,1392,0,22-1-29,5792-74-3523,A-10,,2,C,163200,11000,1392,1392,0,6.30172,No
2,2509,A-1,5792-74-0737,,2,C,147300,8000,1716,1716,0,22-1-30A,5792-74-1760,A-10,,2,C,204100,11000,1716,1716,0,7.20309,No
2,2529,A-1,6702-14-5220,,6,C,683300,8000,1266,2112,97075,22-13,6702-14-5220,A-10,,6,C,682500,11000,1266,2112,105050,186.43,No
2,2544,A-1,6702-34-4825,,2,,45000,0,0,0,0,22-14D,6702-34-3830,A-10,,2,,50600,0,0,0,0,4.22072,No
2,2552,A-1,6702-23-5819,,2,,91200,0,0,0,0,22-18C,6702-23-3853,A-10,,2,,74100,0,0,0,0,10.968,No
3,2557,A-1,6702-11-0432,,5,,581100,0,0,0,55725,22-19,6702-02-4079,A-10,,5,,552900,0,0,0,56900,45.5444,No
